inm series,abbreviation,lum file SMILES,inm corrected SMILES,lum file,population,,
430,SO2NH2,*S(N)(=O)=O,*S(=O)(=O)N,89,18,,
431,H2NO2S,*N[SH](=O)=O,*S(=O)(=O)N,192,5,,
432,,,,,,,
433,CH2OH,*CO,*CO,72,23,,
434,HOH2C,*[H]CO,*CO,336,2,,
435,,,,,,,
436,MOM,,*COC,,,methoxymethyl,
437,,,,,,,
438,OMOM,*OCOC,*OCOC,189,5,,
439,MOMO,,*OCOC,,,,
440,,,,,,,
441,NHOH,*NO,*NO,93,17,,
442,HOHN,,*NO,,,,
443,,,,,,,
444,NHCbz,*NC(=O)OCC1=CC=CC=C1,*NC(=O)OCC1=CC=CC=C1,173,6,,
445,CbzHN,*NC(=O)OCC1=CC=CC=C1,*NC(=O)OCC1=CC=CC=C1,706,1,,
446,,,,,,,
447,NHPh,*NC1=CC=CC=C1,*NC1=CC=CC=C1,423,1,,
448,PhHN,*NC1=CC=CC=C1,*NC1=CC=CC=C1,413,1,,
449,,,,,,,
450,NPh2,*N(C1=CC=CC=C1)C1=CC=CC=C1,*N(C1=CC=CC=C1)C2=CC=CC=C2,196,5,,
451,Ph2N,,*N(C1=CC=CC=C1)C2=CC=CC=C2,,,,
452,,,,,,,
453,NHBn,*NCC1=CC=CC=C1,*NCC1=CC=CC=C1,228,4,,
454,BnHN,,*NCC1=CC=CC=C1,,,,
455,,,,,,,
456,NHBz,*NC(=O)C1=CC=CC=C1,*NC(=O)C1=CC=CC=C1,289,3,,
457,BzHN,,*NC(=O)C1=CC=CC=C1,,,,
458,,,,,,,
459,NHPMB,*NCC1=CC=C(OC)C=C1,*NCC1=CC=C(OC)C=C1,431,1,,
460,PMBHN,,*NCC1=CC=C(OC)C=C1,,,,
461,,,,,,,
462,NPMB2,*C*=C*=*OC,*N(CC1=CC=C(OC)C=C1)CC2=CC=C(OC)C=C2,284,3,,
463,PMB2N,,*N(CC1=CC=C(OC)C=C1)CC2=CC=C(OC)C=C2,,,,
464,,,,,,,
465,(CH2),*C,*C*,167,6,,
466,(CH2)2,*CC*,*CC*,60,31,,
467,(CH2)3,*CCC*,*CCC*,77,21,,
468,(CH2)4,*CCCC*,*CCCC*,91,17,,
469,(CH2)5,*CCCCC*,*CCCCC*,281,3,,
470,(CH2)6,*CCCCCC*,*CCCCCC*,94,16,,
471,(CH2)7,*CCCCCCC*,*CCCCCCC*,150,7,,
472,(CH2)8,*CCCCCCCC*,*CCCCCCCC*,155,7,,
473,(CH2)9,,*CCCCCCCCC*,,,,
474,(CH2)10,*CCCCCCCCCC*,*CCCCCCCCCC*,171,6,,
475,(CH2)11,*CCCCCCCCCCC*,*CCCCCCCCCCC*,647,1,,
476,(CH2)12,*CCCCCCCCCCCC*,*CCCCCCCCCCCC*,272,3,,
477,(CH2)13,*CCCCCCCCCCCCC*,*CCCCCCCCCCCCC*,741,1,,
478,(CH2)14,,*CCCCCCCCCCCCCC*,,,,
479,(CH2)15,,*CCCCCCCCCCCCCCC*,,,,
480,(CH2)16,,*CCCCCCCCCCCCCCCC*,,,,
481,(CH2)17,,*CCCCCCCCCCCCCCCCC*,,,,
482,(CH2)18,*CCC*,*CCCCCCCCCCCCCCCCCC*,371,2,,
483,(CH2)19,,*CCCCCCCCCCCCCCCCCCC*,,,,
484,(CH2)20,,*CCCCCCCCCCCCCCCCCCCC*,,,,
485,,,,,,,
486,CH2,,*C*,,,,
487,C2H4,*CC*,*CC*,206,5,,
488,C3H6,*CCC*,*CCC*,199,5,,
489,C4H8,*CCCC*,*CCCC*,367,2,,
490,,,,,,,
491,CH2CH2,*CC*,*CC*,169,6,,
492,CH2CH2CH2,*CCC*,*CCC*,567,1,,
493,CH2CH2CH2CH2,*CCCC*,*CCCC*,181,5,,
494,,,,,,,
495,CO,*C(*)=O,*C(*)=O,71,23,,
496,OC,*C(*)=O,*C(*)=O,149,7,,
497,,,,,,,
498,CH2O,*CO*,*CO*,98,15,,
499,OCH2,*CO*,*OC*,241,3,,
500,,,,,,,
501,COO,*OC(*)=O,*C(=O)O*,76,21,COO-,*C(=O)[O-]
502,CO2,,*C(=O)O*,,,CO2-,*C(=O)[O-]
503,OOC,*COO*,*OC(=O)*,102,14,-OOC,*C(=O)[O-]
504,O2C,*OC(*)=O,*OC(=O)*,235,4,-O2C,*C(=O)[O-]
505,,,,,,,
506,NMe,*N(*)C,*N(*)C,105,14,,
507,MeN,*N(*)C,*N(*)C,527,1,,
508,,,,,,,
